,rev_id,score
328,686777395,Start
329,687093229,C
330,687109778,Stub
331,687127320,Stub
332,687130572,Stub
333,687134370,Stub
334,687138552,Stub
335,687159388,Start
336,687159391,Start
337,687159546,Start
338,687160422,Stub
339,687285060,Stub
340,687492743,Stub
341,687613810,Stub
342,687837173,Stub
343,687882717,Start
344,688145583,Start
345,688430552,Stub
346,688501356,Stub
347,688524967,Stub
348,688537236,Stub
349,688590526,Stub
350,688695923,Stub
351,688697227,Start
352,688763099,Stub
353,689248087,Stub
354,689614169,Stub
355,689893447,Stub
356,689932213,Stub
357,689944992,Stub
358,689950541,Stub
359,690074710,Start
360,690088836,Stub
361,690152474,Start
362,690205437,Stub
363,690430012,Stub
364,690548204,Stub
365,690700220,Stub
366,690768683,Stub
367,690770856,Stub
368,691045510,Start
369,691201135,Stub
370,691346630,Stub
371,691389889,Stub
372,691747234,Stub
373,692123101,Stub
374,692141335,Stub
375,692173141,Stub
376,692298286,Stub
377,692475749,Stub
378,692502721,Stub
379,692502986,Stub
380,692684868,Stub
381,693011077,Stub
382,693055898,Stub
383,693179500,Stub
384,693208023,Stub
385,693211421,Stub
386,693292931,Start
387,693336296,Stub
388,693337130,Stub
389,693338177,Stub
390,693354280,Stub
391,693388584,Start
392,693431430,Stub
393,693514155,Stub
394,693552292,Stub
395,693573541,Stub
396,693624260,Stub
397,693661018,Stub
398,693714773,Stub
399,693721533,Stub
400,693748230,Stub
401,693817205,C
402,694039903,Stub
403,694084978,Stub
404,694112087,Stub
405,694313944,B
406,694335820,C
407,694337217,Stub
408,694364743,Stub
409,694519009,Start
410,694557304,Start
411,694588693,Stub
412,694815600,Stub
413,694889020,Stub
414,694949199,Stub
415,694949347,Stub
416,694954386,Stub
417,694969219,Stub
418,694969272,Stub
419,695276940,Stub
420,695389357,Start
421,695393414,Stub
422,695405443,Stub
423,695633280,Stub
424,695644408,Start
425,695938011,Stub
426,695941127,Stub
427,696119166,Stub
428,696253449,Start
429,696310078,Stub
430,696350624,Stub
431,696479863,Stub
432,696606312,Stub
433,696608092,
434,696608668,Stub
435,697009255,Stub
436,697267319,Stub
437,697280332,Stub
438,697369222,Stub
439,697507956,Start
440,697511001,Stub
441,697556836,Start
442,697559666,Start
443,697662367,Stub
444,697742639,Stub
445,697897076,Stub
446,697908533,Stub
447,698048774,Stub
448,698077739,Stub
449,698093715,Start
450,698241676,Stub
451,698253253,Stub
452,698345894,Stub
453,698571611,Stub
454,698571613,Stub
455,698571631,Stub
456,698571634,Stub
457,698571661,Stub
458,698571662,Stub
459,698571672,Stub
460,698571717,Stub
461,698571731,Stub
462,698571738,Stub
463,698571745,Stub
464,698571747,Stub
465,698571748,Stub
466,698571750,Stub
467,698571758,Stub
468,698571782,Stub
469,698571785,Stub
470,698571803,Stub
471,698572100,Start
472,698572160,Stub
