,page,country,rev_id,Unnamed: 0,score
10429,Roy Chiongbian,Philippines,753191526,10428.0,
10637,Diyar Khan Yaqubi,Pakistan,754739349,10636.0,
11129,Arthur Gregorian,Armenia,756697478,11128.0,
12141,Marcelo Cerqueira,Brazil,757313957,12140.0,
12886,Ahmad Balal,Pakistan,757961591,12885.0,
12996,Saifuddin Bohra,Pakistan,758706289,12995.0,
13336,Saleh Al Shal,United Arab Emirates,760194556,13335.0,
13337,Josef Siegele,Austria,760195376,13336.0,
13617,Nikolay Baranov (politician),Russia,761821348,13616.0,
13785,Kalthouma Nguembang,Chad,762816132,13784.0,
13881,Leonora Linter,Estonia,763245610,13880.0,
13949,Elisha Shapiro,United States,763558111,13948.0,
14084,Lennox Farrell,Canada,764019224,14083.0,
14117,Francois Willie Cloete,South Africa,764191934,14116.0,
14263,Obuobia Darko-Opoku,Ghana,764911200,14262.0,
14355,Emmanuel Odoi Lartey,Ghana,765228329,14354.0,
14406,Roozbeh Farahanipour,Iran,765489047,14405.0,
14438,Zeev Schwartz,Israel,765662083,14437.0,
14443,Jeferson Moreira,Brazil,765717347,14442.0,
14562,Giammarco Montanari,Italy,766101638,14561.0,
15010,Muhammad Abdul Haque,Bangladesh,768013050,15009.0,
15246,Rajat Majumdar,India,768871687,15245.0,
15937,Sheikh Zakaria Ansari,Iran,771213598,15936.0,
16034,Muhammad Yar Khan Mandokhail,Pakistan,771642775,16033.0,
16168,Walter Lee (Louisiana politician),United States,772176512,16167.0,
16238,Mark M. Noble,United States,772567736,16237.0,
16460,Isaura Gomes,Cape Verde,773323473,16459.0,
16467,Hari Bahadur Rai,Nepal,773355081,16466.0,
16519,Viviana Piñeiro,Uruguay,773601556,16518.0,
16626,Khaled Negm,Egypt,774023957,16625.0,
16708,Phil Hobson,United Kingdom,774293013,16707.0,
17571,John Palino,New Zealand,777163201,17570.0,
17982,Larry Holmes (activist),United States,778388481,17981.0,
18062,Debojeet Thaosen,India,778618827,18061.0,
18254,Jacek Maciej Wenderlich,Poland,779101752,18253.0,
18266,Mohamad Hamim Aliyas,Singapore,779135011,18265.0,
18398,Ina Ambolodto,Philippines,779409209,18397.0,
18754,José Ricardo Salazar,Venezuela,779899001,18753.0,
18776,Chaudhry Zafar Iqbal Warraich,Pakistan,779954797,18775.0,
18779,Rana Assad Amin,Pakistan,779957437,18778.0,
19092,Claudia Pastorino,Italy,781072934,19091.0,
19208,Jama Mohamud Takar,Somalia,781427254,19207.0,
19439,Batul Soltani,Iran,782170063,19438.0,
19570,Marcia Dangremon,Brazil,782508289,19569.0,
20010,Rose Sales,Brazil,783382630,20009.0,
20541,Met Bozi,Albania,784558743,20540.0,
21535,Mariano Lazcano,Spain,786721553,21534.0,
21827,Mian Fareed Abbas Kathia,Pakistan,787181453,21826.0,
21998,Nihal Naj Ali Al-Awlaqi,Yemen,787353922,21997.0,
22094,Abdolmajid Pirzadeh Jahromi,Iran,787391918,22093.0,
22115,Abdul Latif Khalid Cheema,Pakistan,787398581,22114.0,
22184,Abdurahman H. H. Osman 'Mallay',Somalia,787453368,22183.0,
22703,Thoraya Obaid,Saudi Arabia,788037971,22702.0,
22978,Rahul Sinha,India,788289620,22977.0,
23015,Mahesh Kumar,Pakistan,788310383,23014.0,
23448,Vithal Chavan,India,788722110,23447.0,
24408,Jaybahadur Hitan Magar,Nepal,788844423,24407.0,
24913,Amirreza Amirbakhtiar,Iran,788884593,24912.0,
25622,Fernando Linera,Spain,789080627,25621.0,
25690,Andrés Ycaza Mantilla,Ecuador,789150159,25689.0,
25816,Carlo Pezzati,Italy,789262504,25815.0,
25838,Patrick Binder,France,789266166,25837.0,
26017,Harald Haas (Pirate Party),Austria,789271422,26016.0,
26128,Zhang Yuhuan,China,789281061,26127.0,
26165,Saqib Idrees Taj,Pakistan,789285351,26164.0,
26171,Hameeda Waheeduddin,Pakistan,789285762,26170.0,
26178,Zheng Shekui,China,789286413,26177.0,
27256,Prasanna Earnest,India,789444415,27255.0,
27637,Chowdhary Balbir Singh,India,789736824,27636.0,
27786,Arthur C. Watson,United States,789816636,27785.0,
28191,Farouk Sharif,Philippines,790028876,28190.0,
28348,Idoia Zenarrutzabeitia Beldarrain,Spain,790147995,28347.0,
